orig_index,protocol_id,run_id,config_hash,h_0,h_1,h_2,h_3,h_4,cluster
90,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,-0.031106472,-0.141367,0.13132696,0.21026823,0.056512,1
91,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.14696343,0.14553331,-0.13025256,0.025020264,0.091670975,2
92,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.26102468,-0.6164824,-1.0550022e-05,0.042282373,0.021953166,4
93,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.034555405,-0.16941357,0.16952458,0.2600408,0.020338744,1
94,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.26417306,0.017411962,-0.14000043,0.15063451,0.03607054,2
95,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.23316672,-0.08119888,-0.07605094,0.13241324,0.02872311,2
96,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.044489235,0.26003578,-0.16148987,-0.1306246,0.30770117,0
97,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.08741199,-0.14692119,0.10091227,0.18749866,-0.046190076,1
98,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.11287185,-0.13977392,-0.04536657,0.13314049,-0.047065113,2
99,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.00835754,-0.20597556,0.11277205,0.1784942,-0.06765768,1
100,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.21434464,-0.043138273,-0.07463336,0.07278994,-0.02476856,2
101,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,-0.011158362,0.23687024,-0.20722905,-0.12455517,0.38185093,0
102,mvdec_dekm_consistent_v1,tiki_mvdec_dekm_consistent_v1_ccfbcd08db49_seed_44,ccfbcd08db49645649c885e212a7f2e0796a7bf3746d6b5f7b50f2673ebb95b4,0.10003746,0.038304195,-0.14041331,0.11113216,0.20602767,2
