csv_row_index,merged_row_index,match_flag,recovered_years_joined,Seller Link,Store Name,Year Joined,Total Products,Rating,Review Count,Followers,Total Revenue,Total Review,1 Start,2 Start,3 Start,4 Start,5 Start
1079,1094,,4,https://tiki.vn/cua-hang/tnbags?source_screen=product_detail&source_engine=organic,TNBags,2022,37,4.9,24,0,957000,20.0,0.0,0.0,0.0,2.0,18.0
1080,1095,,6,https://tiki.vn/cua-hang/itel-official-store?source_screen=product_detail&source_engine=organic,ITEL Official Store,2020,1,4.8,69,36,0,1.0,0.0,0.0,0.0,0.0,1.0
1081,1096,,7,https://tiki.vn/cua-hang/thiet-bi-nganh-loc-nuoc?source_screen=product_detail&source_engine=organic,Thiết Bị Ngành Lọc Nước,2019,56,4.1,56,27,0,49.0,5.0,0.0,5.0,8.0,31.0
1082,1097,,4,https://tiki.vn/cua-hang/sipu-official?source_screen=product_detail&source_engine=organic,SiPU OFFICIAL,2022,69,4.7,65,14,6870000,59.0,1.0,0.0,0.0,16.0,42.0
1083,1098,,8,https://tiki.vn/cua-hang/tra-bao-loc-vu-gia-i6934?source_screen=product_detail&source_engine=organic,VŨ GIA TEA & FARM,2018,176,4.4,901,516,1237000,570.0,29.0,19.0,29.0,80.0,413.0
1084,1099,,4,https://tiki.vn/cua-hang/dien-nuoc-hong-thuy?source_screen=product_detail&source_engine=organic,Điện nước Hồng Thủy,2022,15,4.3,17,0,140000,8.0,0.0,0.0,0.0,5.0,3.0
1085,1100,,5,https://tiki.vn/cua-hang/viko-mart?source_screen=product_detail&source_engine=organic,ViKo Mart,2021,46,4.7,540,53,791000,106.0,0.0,0.0,3.0,14.0,89.0
1086,1101,,8,https://tiki.vn/cua-hang/tomato-tp?source_screen=product_detail&source_engine=organic,TOMATO T&P,2018,11,4.6,333,50,130000,,,,,,
1087,1102,,6,https://tiki.vn/cua-hang/freshgoodsgroup?source_screen=product_detail&source_engine=organic,FRESHGOODSGROUP,2020,1,4.7,82,57,260000,19.0,1.0,0.0,1.0,1.0,16.0
1088,1218,,3,https://tiki.vn/cua-hang/vat-lieu-loc-72?source_screen=product_detail&source_engine=organic,VẬT LIỆU LỌC 72,2023,5,0.0,0,0,0,,,,,,
