satellite_no2,highway_primary,high_traffic,medium_traffic,low_traffic,landuse_industrial_variance,landuse_industrial_distance_mean,landuse_industrial_b5,landuse_residential_b5,landuse_forest_b5,neighbours_no2_variance,neighbours_no2_distance_mean,neighbours_no2_distance_max
5.19E-05,11911.85309,0.414674154,0.065180665,0.255132267,0,0,0,0,0,8.45E-12,7.33E-07,4.72E-06
5.05E-05,13082.87082,0.410008126,0.054581267,0.238430641,0,0,0,0,0,1.05E-11,9.48E-08,6.05E-06
5.13E-05,14269.56958,0.3806855,0.079901499,0.22624632,0,0,0,0,0,1.14E-11,1.69E-06,-5.65E-06
5.13E-05,15470.50589,0.358874391,0.120513601,0.219315702,0,0,0,0,0,1.10E-11,3.24E-06,-7.82E-06
5.05E-05,16682.61089,0.345978537,0.165614511,0.21812827,0,0,0,0,0,1.94E-11,3.86E-06,-7.13E-06
4.94E-05,17903.61632,0.342990893,0.185886991,0.22277375,0,0,0,0,0,1.94E-11,3.90E-06,-9.34E-06
4.62E-05,19129.84628,0.294266557,0.168398614,0.232911108,0,0,0,0,0,1.37E-11,1.27E-06,-6.51E-06
4.14E-05,20362.20255,0.238683365,0.164020306,0.247881465,0,0,0,0,0,1.15E-11,2.54E-06,9.17E-06
4.03E-05,21599.64314,0.185606981,0.173737814,0.266888482,0,0,0,0,0,7.36E-12,3.23E-06,9.13E-06
4.15E-05,22841.34173,0.137862054,0.195475302,0.289151435,0,0,0,0,0,2.98E-12,1.34E-06,4.66E-06
4.16E-05,24086.63982,0.102792585,0.22580932,0.31398993,0,0,0,0,0,1.73E-12,1.47E-07,1.96E-06
4.32E-05,25335.00663,0.094819931,0.261784519,0.340849944,0,0,0,0,0,2.46E-12,1.63E-06,4.32E-07
4.32E-05,26586.00988,0.119279393,0.301397146,0.369296854,0,0,0,0,0,3.07E-12,6.66E-07,5.49E-07
4.21E-05,27839.29416,0.162509777,0.343395952,0.398995812,0,0,0,0,0,4.82E-12,1.29E-06,4.93E-06
4.14E-05,29094.56468,0.213640109,0.387007738,0.413944894,0,0,0,0,0,5.73E-12,2.99E-06,6.40E-06
4.41E-05,30351.57502,0.268269227,0.431745613,0.421371169,0,0,0,0,0,5.57E-12,1.15E-06,5.59E-06
4.70E-05,31610.11762,0.257551317,0.165402164,0.375878439,0,0,0,0,0,9.22E-12,9.20E-07,1.42E-06
4.76E-05,32869.1571,0.271349868,0.120052301,0.35017064,0,0,0,0,0,9.40E-12,1.38E-06,2.71E-06
4.91E-05,34129.11285,0.296556106,0.07895117,0.326439446,0,0,0,0,0,5.95E-12,1.94E-06,1.21E-06
5.06E-05,35390.22769,0.330608397,0.052812085,0.305138517,0,0,0,0,0,2.51E-12,3.34E-06,-3.04E-06
4.96E-05,36507.30484,0.371110783,0.063381429,0.286800045,0,0,0,0,0,1.53E-12,2.40E-06,-3.17E-06
4.97E-05,37568.76845,0.416206065,0.099745131,0.272012411,0,0,0,0,0,2.93E-12,2.05E-06,-5.06E-06
4.73E-05,38643.21979,0.43527037,0.118446851,0.261367036,0,0,0,0,0,3.30E-12,1.06E-06,3.56E-06
4.67E-05,39729.60516,0.416295677,0.148990032,0.255371942,0,0,0,0,0,2.81E-12,1.28E-06,3.65E-06
4.83E-05,40826.9719,0.398876176,0.178437916,0.254349468,0,0,0,0,0,3.13E-12,6.23E-07,-1.10E-06
4.78E-05,41934.4579,0.339500733,0.144613562,0.258357476,0,0,0,0,0,2.42E-12,5.26E-07,1.68E-06
