job_index,strategy,n_bins,min_support,trial_index,stage,silhouette_score,n_selected_features,selected_features,cluster_sizes,mu_param,gamma,beta,status,error_message,is_best
8,uniform,3,0.6,21,coarse,0.38953080773353577,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[165, 207, 784, 389, 254]",0.5,0.8,3.0,ok,,False
8,uniform,3,0.6,22,coarse,0.390895813703537,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[165, 206, 789, 388, 251]",0.5,0.8,4.0,ok,,False
8,uniform,3,0.6,23,coarse,0.39155521988868713,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[164, 204, 797, 384, 250]",0.5,0.8,5.0,ok,,False
8,uniform,3,0.6,24,coarse,0.3905344009399414,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[166, 220, 752, 393, 268]",0.8,0.2,2.0,ok,,False
8,uniform,3,0.6,25,coarse,0.3933961093425751,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[168, 215, 754, 395, 267]",0.8,0.2,3.0,ok,,False
8,uniform,3,0.6,26,coarse,0.3945828080177307,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[167, 214, 759, 396, 263]",0.8,0.2,4.0,ok,,False
8,uniform,3,0.6,27,coarse,0.3946633040904999,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[167, 213, 759, 397, 263]",0.8,0.2,5.0,ok,,False
8,uniform,3,0.6,28,coarse,0.3856258988380432,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[168, 236, 723, 397, 275]",0.8,0.5,2.0,ok,,False
8,uniform,3,0.6,29,coarse,0.393728643655777,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[167, 220, 746, 391, 275]",0.8,0.5,3.0,ok,,False
8,uniform,3,0.6,30,coarse,0.39634981751441956,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[168, 220, 752, 389, 270]",0.8,0.5,4.0,ok,,False
8,uniform,3,0.6,31,coarse,0.3934667706489563,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[167, 214, 756, 394, 268]",0.8,0.5,5.0,ok,,False
8,uniform,3,0.6,32,coarse,0.3782813847064972,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[170, 245, 711, 401, 272]",0.8,0.8,2.0,ok,,False
8,uniform,3,0.6,33,coarse,0.3940659165382385,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[166, 226, 741, 391, 275]",0.8,0.8,3.0,ok,,False
8,uniform,3,0.6,34,coarse,0.3965565860271454,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[166, 220, 749, 390, 274]",0.8,0.8,4.0,ok,,True
8,uniform,3,0.6,35,coarse,0.39652496576309204,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[167, 218, 755, 391, 268]",0.8,0.8,5.0,ok,,False
8,uniform,3,0.6,36,refine,0.39018529653549194,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[166, 208, 761, 396, 268]",0.7,0.7,4.0,ok,,False
8,uniform,3,0.6,37,refine,0.39018529653549194,5,"fused_9_medium, fused_10_low+fused_4_high, fused_1_medium, fused_11_high+fused_5_low+fused_6_low, fused_8_medium","[166, 208, 761, 396, 268]",0.7,0.8,4.0,ok,,False
