orig_index,h_0,h_1,h_2,h_3,h_4,cluster
249,-0.66678065,-0.43937224,-0.29573524,-0.25749615,-0.12622595,1
250,-0.6295486,-0.35468015,-0.23236395,-0.17250068,-0.07077432,1
251,0.0091445595,-0.17459866,-0.21267156,0.04494679,0.1455046,3
252,-0.2808262,-0.247935,-0.221744,-0.035354067,0.16909283,4
253,0.083672345,-0.17200193,-0.37191638,0.14388725,0.20754087,0
254,0.08703221,-0.049476046,-0.44316226,0.15747124,0.17669982,0
255,-0.026608437,-0.19721979,-0.17196105,0.052027673,0.13053954,3
256,-0.039931633,-0.18910645,-0.14684516,0.07339869,0.12590875,3
257,-0.07673753,-0.203468,-0.17025918,0.032464202,0.13156977,3
258,0.004592672,-0.1892994,-0.20711873,0.08493039,0.13010809,3
259,-0.2319236,-0.27129537,-0.24979785,-0.11502287,0.27819914,4
260,-0.019740596,-0.18467814,-0.12841019,0.09969938,0.13243873,3
261,-0.07453691,-0.19700564,-0.15586081,0.010492211,0.1108723,3
262,0.07496731,-0.12926719,-0.41763178,0.15266255,0.17467146,0
263,0.07799494,-0.15610376,-0.3951682,0.11805165,0.18437192,0
264,-0.2234242,-0.25318816,-0.22752303,-0.052391417,0.1289777,4
265,-0.015216537,-0.15789542,-0.1426889,0.03658673,0.14668782,3
266,-0.011302389,-0.18851158,-0.18100065,0.08122705,0.13720164,3
267,-0.05143249,-0.24559788,-0.18864444,0.06647427,0.15683933,3
268,-0.02335105,-0.21989584,-0.19240622,0.055403326,0.12792508,3
269,-0.23061907,-0.19799265,-0.20248201,-0.02660989,0.15042607,4
270,-0.2594232,-0.26735038,-0.2229546,-0.0705951,0.11528801,4
271,0.040522143,-0.17666471,-0.3375024,0.10343194,0.14786983,0
272,0.011978507,-0.13230985,-0.24861947,0.09967409,0.15153253,3
273,0.013357803,-0.19479804,-0.15863001,0.072947145,0.14992738,3
274,-1.054395,-0.3933384,-0.45329306,-0.4048446,-0.21059968,2
275,0.05842475,-0.09065691,-0.49008673,0.13127974,0.14413337,0
276,0.007917464,-0.1510198,-0.1561831,0.07693223,0.13805899,3
277,-0.042421132,-0.15097088,-0.13476637,0.060235456,0.13264316,3
278,0.08106899,-0.11611639,-0.4071416,0.111235395,0.1633302,0
279,-0.022966385,-0.25745082,-0.14430079,0.10282071,0.10245626,3
280,-0.021557063,-0.19707543,-0.1323858,0.076514184,0.14815256,3
281,-0.013528921,-0.21462135,-0.20451188,0.04787895,0.11806247,3
282,-0.10408552,-0.21038108,-0.18319716,0.0129972845,0.13796985,3
283,0.018286362,-0.13635719,-0.2608044,0.10473117,0.16410393,0
284,-0.17842644,-0.1727008,-0.17043228,-0.010418531,0.11695367,4
285,-0.23202373,-0.37342626,-0.15592411,-0.055846058,0.15111199,4
286,-0.034333035,-0.19878975,-0.16034877,0.08070066,0.1557033,3
287,-0.047565527,-0.12403488,-0.23593064,0.116331205,0.13012016,3
288,-0.034870908,-0.15394127,-0.10835582,0.05307719,0.13224319,3
289,-0.899228,-0.4095453,-0.39434797,-0.33511752,-0.16851467,2
