orig_index,h_0,h_1,h_2,h_3,h_4,cluster
254,-0.29215592,0.1920703,0.49788272,-0.10348171,-0.21709661,3
255,-0.25166246,-0.11480464,0.24008417,0.04262833,-0.01315001,0
256,-0.15337664,-0.023118034,0.21699949,0.11370224,-0.05978201,2
257,-0.27665713,-0.07680522,0.2694443,0.111560784,-0.03566639,0
258,-0.18015811,-0.0020508394,0.34003064,0.011801814,-0.09561277,2
259,-0.2250143,0.13263562,0.52190626,0.061744317,-0.25707978,3
260,-0.15210927,-0.027108515,0.19838306,0.12769873,-0.023049504,2
261,-0.16701537,-0.0037274212,0.23132549,0.106319234,-0.06340334,2
262,-0.29634088,0.13101654,0.52456474,-0.080041245,-0.20083855,3
263,-0.27584788,0.051257595,0.451537,-0.055776022,-0.1368972,3
264,-0.09665792,0.0009846985,0.2660701,0.15972868,-0.080561705,2
265,-0.3420769,-0.0984022,0.20647891,-0.02662687,0.01933834,0
266,-0.25938714,-0.08809683,0.26525846,0.045729727,-0.042086434,0
267,-0.2864709,-0.09294528,0.2822241,0.040786125,-0.01430212,0
268,-0.12216175,-0.024489254,0.2649275,0.14156331,-0.08953793,2
269,-0.15102611,-0.006902769,0.1846671,0.09107143,-0.10561721,2
270,-0.07782628,-0.011484772,0.26245952,0.19291414,-0.09449692,2
271,-0.24551925,0.029935956,0.4396677,-0.0208871,-0.12740768,3
272,-0.22381182,-0.013580456,0.3367477,-0.006259814,-0.100772806,0
273,-0.16310823,-0.021404132,0.18845683,0.12954134,-0.082831495,2
274,0.33229065,0.16400814,0.48139933,-0.090816215,0.588258,1
275,-0.26728716,0.20659676,0.6541284,0.01203087,-0.19931704,3
276,-0.2756716,-0.07351445,0.23117286,0.066794485,-0.01641073,0
277,-0.31232983,-0.06646669,0.17210525,0.048907403,-0.0044025034,0
278,-0.27258396,0.11017051,0.4551221,-0.03466025,-0.15909922,3
279,-0.16935487,0.0062782764,0.25372845,0.13862273,-0.092228815,2
280,-0.1787951,-0.07164755,0.22774401,0.08417922,-0.06632461,2
281,-0.32540992,-0.12594827,0.26206094,0.0728327,0.043322712,0
282,-0.268816,-0.07437919,0.28340697,0.12547234,-0.026582837,0
283,-0.24099171,-0.02433061,0.35577556,-0.03314121,-0.11118995,3
284,-0.12908746,-0.007050652,0.19620505,0.065554306,-0.09285696,2
285,-0.2310693,0.17913735,0.52901477,0.14115776,-0.07249221,3
